week_start,week_of_year,year,predicted_revenue,saved_at
2025-12-29,1,2025,82692.17,2026-02-20T14:18:55.909929
2026-01-05,2,2026,47195.67,2026-02-20T14:18:55.909929
2026-01-12,3,2026,47031.07,2026-02-20T14:18:55.909929
2026-01-19,4,2026,46102.60,2026-02-20T14:18:55.909929
2026-01-26,5,2026,42634.78,2026-02-20T14:18:55.909929
2026-02-02,6,2026,35549.30,2026-02-20T14:18:55.909929
2026-02-09,7,2026,45464.23,2026-02-20T14:18:55.909929
2026-02-16,8,2026,49736.48,2026-02-20T14:18:55.909929
2026-02-23,9,2026,43581.48,2026-02-20T14:18:55.909929
2026-03-02,10,2026,43529.40,2026-02-20T14:18:55.909929
2026-03-09,11,2026,44197.76,2026-02-20T14:18:55.909929
2026-03-16,12,2026,44192.88,2026-02-20T14:18:55.909929
2026-03-23,13,2026,42702.43,2026-02-20T14:18:55.909929
2026-03-30,14,2026,44682.49,2026-02-20T14:18:55.909929
2026-04-06,15,2026,36187.28,2026-02-20T14:18:55.909929
2026-04-13,16,2026,36163.62,2026-02-20T14:18:55.909929
2026-04-20,17,2026,38067.57,2026-02-20T14:18:55.909929
2026-04-27,18,2026,32468.32,2026-02-20T14:18:55.909929
2026-05-04,19,2026,33370.22,2026-02-20T14:18:55.909929
2026-05-11,20,2026,40342.13,2026-02-20T14:18:55.909929
2026-05-18,21,2026,38409.77,2026-02-20T14:18:55.909929
2026-05-25,22,2026,42987.15,2026-02-20T14:18:55.909929
2026-06-01,23,2026,39688.40,2026-02-20T14:18:55.909929
2026-06-08,24,2026,45297.25,2026-02-20T14:18:55.909929
2026-06-15,25,2026,41983.35,2026-02-20T14:18:55.909929
2026-06-22,26,2026,46282.41,2026-02-20T14:18:55.909929
2026-06-29,27,2026,42684.13,2026-02-20T14:18:55.909929
2026-07-06,28,2026,45232.07,2026-02-20T14:18:55.909929
2026-07-13,29,2026,48263.54,2026-02-20T14:18:55.909929
2026-07-20,30,2026,50329.07,2026-02-20T14:18:55.909929
2026-07-27,31,2026,50295.30,2026-02-20T14:18:55.909929
2026-08-03,32,2026,50961.52,2026-02-20T14:18:55.909929
2026-08-10,33,2026,48283.60,2026-02-20T14:18:55.909929
2026-08-17,34,2026,46421.10,2026-02-20T14:18:55.909929
2026-08-24,35,2026,43293.35,2026-02-20T14:18:55.909929
2026-08-31,36,2026,39758.66,2026-02-20T14:18:55.909929
2026-09-07,37,2026,36471.24,2026-02-20T14:18:55.909929
2026-09-14,38,2026,37164.62,2026-02-20T14:18:55.909929
2026-09-21,39,2026,38468.19,2026-02-20T14:18:55.909929
2026-09-28,40,2026,40923.22,2026-02-20T14:18:55.909929
2026-10-05,41,2026,37166.08,2026-02-20T14:18:55.909929
2026-10-12,42,2026,37010.47,2026-02-20T14:18:55.909929
2026-10-19,43,2026,32275.21,2026-02-20T14:18:55.909929
2026-10-26,44,2026,38286.66,2026-02-20T14:18:55.909929
2026-11-02,45,2026,47930.63,2026-02-20T14:18:55.909929
2026-11-09,46,2026,55501.42,2026-02-20T14:18:55.909929
2026-11-16,47,2026,46367.87,2026-02-20T14:18:55.909929
2026-11-23,48,2026,47438.33,2026-02-20T14:18:55.909929
2026-11-30,49,2026,40968.26,2026-02-20T14:18:55.909929
2026-12-07,50,2026,47634.45,2026-02-20T14:18:55.909929
2026-12-14,51,2026,66392.37,2026-02-20T14:18:55.909929
2026-12-21,52,2026,57546.56,2026-02-20T14:18:55.909929
