week_start,week_of_year,year,predicted_revenue,saved_at
2026-02-02,6,2026,45458.70,2026-02-18T10:28:01.602175
2026-02-09,7,2026,51352.75,2026-02-18T10:28:01.602175
2026-02-16,8,2026,53354.18,2026-02-18T10:28:01.602175
2026-02-23,9,2026,49977.37,2026-02-18T10:28:01.602175
2026-03-02,10,2026,50094.41,2026-02-18T10:28:01.602175
2026-03-09,11,2026,50088.87,2026-02-18T10:28:01.602175
2026-03-16,12,2026,49220.72,2026-02-18T10:28:01.602175
2026-03-23,13,2026,48067.62,2026-02-18T10:28:01.602175
2026-03-30,14,2026,49348.61,2026-02-18T10:28:01.602175
2026-04-06,15,2026,43291.48,2026-02-18T10:28:01.602175
2026-04-13,16,2026,44075.48,2026-02-18T10:28:01.602175
2026-04-20,17,2026,44985.42,2026-02-18T10:28:01.602175
